"Districts","cvc-12+","cvc-15+","cvc-18+","cvc-total","hcw-dose1","hcw-dose2","hcw-precaution","flw-dose1","flw-dose2","flw-precaution","12-14 dose1","12-14 dose2","age-45-59-dose1","age-45-59-dose2","age-45-59-dose3","age-60+dose1","age-60+dose2","age-60+precaution","age-18-44-dose1","age-18-44-dose2","age-18-44-dose3","age 15-17 dose 1","age 15-17 dose    22","tot-doses","tot-person-vaccinations","second-dose","Precaution    dose"
"Wayanad","4","4","6","14","13978","13296","6522","17021","16096","4139","17665","6867","177135","164310","388","128310","114448","27295","354706","302680","196","36563","24587","1426202","745378","642284","38540"
"Idukki","6","6","18","30","13556","13009","6055","22995","21346","5657","22646","10833","246983","219272","699","194580","173126","30266","419650","335067","507","38614","29556","1804417","959024","802209","43184"
"Pathanamthitta","1","23","27","51","29337","25089","12166","25250","22538","7398","22158","11871","281856","251917","3556","312275","280867","109579","443516","358204","2571","40582","32090","2272820","1154974","982576","135270"
"Kasaragod","8","0","50","58","11610","10822","4938","24615","22485","6344","26233","7554","252271","224170","427","181714","160391","34638","501814","411367","404","51864","34192","1967853","1050121","870981","46751"
"Kottayam","13","34","23","70","38706","36317","17430","32141","30609","11499","43293","20362","414215","375134","4616","419761","384515","107199","655851","569817","2751","71163","52789","3288168","1675130","1469543","143495"
"Alappuzha","86","0","90","176","29022","27237","14052","39131","36757","13631","48830","28262","438972","416543","3471","429112","401107","134782","670198","634632","2051","79801","64915","3512506","1735066","1609453","167987"
"Kollam","6","24","29","59","36040","33825","15629","42235","38849","10859","52458","20464","560148","503200","3579","499577","455551","120794","933182","795769","2170","98814","71324","4294467","2222454","1918982","153031"
"Kannur","2","5","27","34","40390","37549","18836","41386","39976","12934","48414","21471","515940","480696","3167","444536","412917","107771","965847","833676","2122","101738","74124","4203490","2158251","1900409","144830"
"Kozhikode","13","98","108","219","52735","47960","18594","55273","52562","9694","40713","6923","655227","582246","3903","529286","480310","98016","1223011","972345","2892","112023","61039","5004752","2668268","2203385","133099"
"Thiruvananthapuram","0","84","12","96","73433","66413","27966","73007","67638","23136","65154","25127","681765","614231","9862","633138","571903","170409","1249457","1067923","8055","113369","78049","5620035","2889323","2491284","239428"
"Palakkad","5","8","28","41","34676","32019","16071","48097","45550","17184","50365","24225","547274","500560","3961","439851","402387","109971","1086869","919221","1726","116469","83598","4480074","2323601","2007560","148913"
"Ernakulam","12","19","68","99","85569","75828","32477","54936","50358","18924","67934","19136","783781","703402","15223","676375","621205","161586","1511392","1235314","11271","118720","87356","6330787","3298707","2792599","239481"
"Thrissur","5","115","141","261","51910","49203","27339","41909","40741","18881","70164","37034","664117","626341","12547","588251","558690","185784","1098595","1030419","5991","125395","97139","5330450","2640341","2439567","250542"
"Malappuram","19","13","20","52","44834","42006","18167","53918","51285","14015","79111","12344","723101","629587","2142","488170","434892","73653","1831308","1393820","1514","185867","85488","6165222","3406309","2649422","109491"